document	label
발에 상처가 나거나 부러져 있는	0
자신의 팔이 부러지는	0
다리가 끊어지거나 부서진	0
입술이 거칠어지거나 아픈	0
직계가족이나 가까운 친척이 사망하자 몹시 슬프게 울었던	1
상대방이 못생겨서 슬퍼하는	0
잇몸이 아픈	0
음식을 먹었는데 체해서 배가 아픈	0
등에 이상이 생기거나 아픈	0
팔이 아픈	0
이가 아픈	1
고장이나 사고로 인해서 차가 멈춘	0
슬픈 얼굴의	0
머리 위에서 까마귀가 우는	0
유두가 아픈	0
사육한 짐승이 아픈	0
말이 놀라서 사방으로 흩어져 도망친	0
부러진 팔을 보는	0
소년들이 싸움을 하는	0
차가 강물에 떠내려가 사라진	0
가던 길을 도중에 멈춘	0
신세타령하며 슬퍼한	0
걷다가 갑자기 걸음을 멈춘	0
산 속에서 신발을 잃어버린	0
오물 같은 것이 옷에 묻어 불쾌해진	0
이마를 쓰다듬는	1
생사를 건 싸움을 한	0
교통사고가 나서 죽거나 다친 것을 본	0
망아지가 굴레를 벗고 날뛰는	0
갓난아이의 알몸을 쓰다듬는	0
길을 찾아 사막 중간에서 헤맨	0
집에서 기르는 동물이나 사람을 표범이 물어간	0
분비된 정액때문에 불쾌한 기분이 되는	0
약병이 사방에 흩어져 있는	0
한쪽 발이 수렁에 빠졌는데 금방 뽑아내는	1
성교를 하는데 미수에 그치거나 만족스럽지 못한	0
쫓기면서 붙잡힐까 불안에 떤	0
자신이 배를 드러내고 있는	0
권력자가 보석을 분실하는	0
찢어져서 너덜너덜한 카페트	0
경관이 총을 겨누자 공포에 떠는	0
노래를 하는데 반주가 안 맞거나 가사를 잊어 제대로 부르지 못한	0
괴한이 가슴에 압박을 가해 몹시 괴로워했던	0
상의를 잃어버려 찾지 못하는	0
필기도구가 없어서 쩔쩔맨	0
온몸을 감은 뱀이 혓바닥을 날름거리고 있는	0
어떤 사건에서 빠져나가기 위해 무작정 도망치는	0
분명히 누군가를 죽였는데 죽지 않고 쫓아오는	0
연설을 하는 도중에 모였던 군중들이 흩어지는	1
개가 사납게 짖어 집안으로 못 들어갔던	0
불의를 보고 비위가 상한	0
이마에 주름이 있는	1
장소를 가리지 않고 돌아 다니는	1
좁고 험한 길을 걷는	0
적병에게 쫓기는	0
칼로 상대를 찔렀는데 죽지 않고 자신을 쫓아오는	0
바위틈에서 잡은 물고기가 두 토막이 나는	0
상대방이 무서워서 뒷걸음질치거나 도망치는	0
차가 가버려서 승차하지 못한	0
어떤 사람이 소름이 끼칠 정도로 무섭게 노려보는	0
뱃길에 물이 말라버린	0
시체 때문에 도망쳤던	0
배가 고파서 음식점을 찾는데 끝내 찾지 못한	0
지진이 일어나거나 지축이 흔들린	0
잔칫집에서 음식을 맛있게 먹는	1
바늘을 잃어 버리고 찾지 못하는	0
길에 물이 많아서 빠지고 걷기가 힘든	0
접대부를 손으로 더듬은 선원의	0
암벽을 무척 고통스럽게 오르는	0
상처가 날 정도로 두들겨 맞은	0
청중이 시끄럽게 웃는	0
반듯이 누워 시간감각을 잊어버렸던	0
비행기의 심한 폭격으로 여기저기에서 사람들이 도망친	0
자신의 이마를 보는	1
뛰려고 애를 쓰는데 발이 떨어지지 않는	0
나체가 된 몸을 가리려고 애쓰는	0
성난 소가 뒤쫓아와 도망친	0
벽이 갈라진 틈으로 연기가 나온	0
문서를 태워 재가 남거나 꾸기거나 찢어서 간직해 둔	0
남의 노랫소리를 듣는	0
화장실을 찾아 다녀도 마땅한 곳이 없어 들어가지 못하는	0
금방 태어난 아기를 보는	0
구운 구렁이 토막을 먹는	1
남을 시기하고 질투한	0
수많은 비행기가 떠서 서로 싸움을 벌이거나 우왕좌왕 떠다닌 것을 본	0
밑 빠진 독에 자꾸 물을 붓는	0
상대방이 서로 빙그레 웃는	0
울타리 안의 좁은 공간에서 서성대는	0
저녁에 여우 울음소리가 들리는	0
아무도 없는 배를 혼자 타고 떠내려간	0
상처를 입은 다리의	0
동물이 피를 흘리고 비명을 지르며 싸움하는 것을 구경한	0
아이의 연기를 보는	1
높은 곳을 오르려 하는데 너무 힘들고 위험하다는 생각이 든	0
공간이 줄어든	0
어떤 형태로든 소금과 연관된	0
팔이 잘리는	0
두꺼비나 맹꽁이가 거리에서 돌아다닌	0
저수지 등에 물이 말라 물고기가 보이는	0
남의 일을 부러워한	0
사람의 해골을 보는	0
상대방의 언행으로 불쾌해진	0
소리가 가냘프고 크지 못한	0
안면이 없는 여자가 흐느껴 운	0
여자의 유방을 거칠게 애무한	0
물에 떠있는 시든 배추를 건지는	0
살생을 하고 양심의 가책을 심하게 받은	0
병자나 노인이 가마나 승용차를 타고 사라져 버린	0
상대방이 총구를 자기에게 겨냥하고 있어 무서워 떨고 있던	0
바닷물이 육지에 들었다가 빠진 흔적을 보는	0
. 깡패가 덤벼드는	0
검도나 펜싱 시합을 한	0
높은 곳에서 떨어지는 도중에 깨어난	0
항구 도시 술집에서 술을 많이 마신 선원의	0
남이 보고 있어 소변을 누지 못하는	0
손가락을 바늘에 찔리는	0
배뇨 구덩이를 파는	1
헝겊조각이나 신문지 등 하찮은 물건으로 얼굴을 덮는	0
많은 물고기를 말라 가는 저수지나 흙탕물 속에서 잡는	0
물건이 엉성해 보인	0
개가 귀여워 쓰다듬어 주는	0
자기 집 분뇨를 분뇨 차가 퍼간	0
화롯가에 여러 명이 빙 둘러앉아 있는	0
아무런 감정도 없이 졸고 있는데 성기가 발기하는	0
말이 자기에게 급히 달려오는	0
길바닥에서 빳빳한 지폐를 줍는	1
아무런 목적 없이 무작정 걷는	0
강변에 있는 방게가 깜짝 놀라 숨어 버리는	0
화장이 지워져 흉하게 보인	0
귀여운 아기가 나타나는	1
신체 일부분에 자기가 배설한 인분이나 남의 것이 묻는	0
정체 불명의 웃음소리를 들은	0
짜임새가 엉성하게 느껴진	0
암흑 속에서 길을 찾아 헤매는	0
어스름 달밤이나 저녁 무렵에 길을 걷는	1
비바람이 심하게 불어 다리를 건너지 못한	0
복면을 한 강도를 만나는	0
누군가가 자신에게 등을 돌리는	0
목욕을 하는데 수온이 급격히 내려가서 몸이 꽁꽁 얼어버리는	1
천지가 전체적으로 흐리게 보인	0
가슴을 풀어헤친 여자를 본	0
강간에 성공해서 만족하는	0
돼지머리를 삶아서 칼로 썰어 그 일부를 감추어둔	0
기계를 조작해서 노름을 한	1
군기를 적군에게 빼앗기거나 접어둔	0
실타래 등이 풀지 못할 정도로 뒤엉켜 있는	0
잠자고 있는 사람을 본	0
무성하게 자라는 채소류를 보는	1
뱀을 토막 내어 먹는	0
밀림 속을 헤매는	0
몰려오는 상어 떼를 본	0
